link;name;location;company;date
https://rabota.sber.ru/search/4202767;Team Lead Data Scientist;г Москва;ПАО Сбербанк;13 сентября 2023
https://rabota.sber.ru/search/4187375;Data Scientist;г Москва;ПАО Сбербанк;17 июля 2023
https://rabota.sber.ru/search/4213112;Middle Data Scientist (Развитие клиентского опыта В2С);г Москва;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4206061;Data scientist;г Нижний Новгород, Нижегородская область;ПАО Сбербанк;07 сентября 2023
https://rabota.sber.ru/search/4208660;Data Scientist (AI-помощник);г Москва;ПАО Сбербанк;12 сентября 2023
https://rabota.sber.ru/search/4111390;Senior Data Scientist;г Москва;ПАО Сбербанк;16 января 2023
https://rabota.sber.ru/search/4192961;Middle+/Senior Data Scientist в Блок Финансы;г Москва;ПАО Сбербанк;01 августа 2023
https://rabota.sber.ru/search/4105654;Data Scientist at Sberbank Corporate;г Москва;ПАО Сбербанк;01 сентября 2023
https://rabota.sber.ru/search/4184091;Senior Data Scientist;г Москва;ПАО Сбербанк;03 августа 2023
https://rabota.sber.ru/search/4153920;Data Scientist (Геоаналитика);г Москва;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4177654;Lead Data Scientist в SberNBA;г Москва;ПАО Сбербанк;10 августа 2023
https://rabota.sber.ru/search/4193888;Data Scientist;г Калининград, Калининградская область;ПАО Сбербанк;01 августа 2023
https://rabota.sber.ru/search/4176521;Senior NLP Data Scientist (команда SberCare.Боты);г Москва;ПАО Сбербанк;10 августа 2023
https://rabota.sber.ru/search/4130601;"Data Scientist ""Прогнозирование спроса""";г Москва;ПАО Сбербанк;11 июля 2023
https://rabota.sber.ru/search/4135800;Data Scientist (Динамическое ценообразование);г Москва;ПАО Сбербанк;14 августа 2023
https://rabota.sber.ru/search/4205059;Junior/Middle Data Scientist SberData;г Москва;ПАО Сбербанк;07 сентября 2023
https://rabota.sber.ru/search/4160726;Junior/Middle Data Scientist;г Москва;ПАО Сбербанк;22 сентября 2023
https://rabota.sber.ru/search/4207623;Data scientist;г Москва;ПАО Сбербанк;08 сентября 2023
https://rabota.sber.ru/search/4191306;Intern Data Scientist;г Москва;ПАО Сбербанк;22 сентября 2023
https://rabota.sber.ru/search/4183169;Data scientist в Центр искусственного интеллекта Сбера;г Москва;ПАО Сбербанк;13 июля 2023
https://rabota.sber.ru/search/4174325;Senior/Lead Data Scientist;г Москва;ПАО Сбербанк;15 августа 2023
https://rabota.sber.ru/search/4214279;Senior Data Scientst;г Москва;ПАО Сбербанк;27 сентября 2023
https://rabota.sber.ru/search/4208656;Data Scientist (LLM);г Москва;ПАО Сбербанк;12 сентября 2023
https://rabota.sber.ru/search/4194532;Data Scientist (NLP);г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4206143;Data engineer;г Нижний Новгород, Нижегородская область;ПАО Сбербанк;07 сентября 2023
https://rabota.sber.ru/search/4206890;Middle/Senior Data Scientist;г Москва;ПАО Сбербанк;06 сентября 2023
https://rabota.sber.ru/search/4202692;Data Scientist (Центр валидации моделей сервисных блоков и экосистемы);г Москва;ПАО Сбербанк;01 сентября 2023
https://rabota.sber.ru/search/4087816;Data Scientist в рекомендательные системы;г Нижний Новгород, Нижегородская область;ПАО Сбербанк;28 сентября 2023
https://rabota.sber.ru/search/4189176;Middle Data Analyst;г Москва;ПАО Сбербанк;03 августа 2023
https://rabota.sber.ru/search/4194217;Data Scientist NLP (Производство и оптовая торговля);г Москва;ПАО Сбербанк;01 сентября 2023
https://rabota.sber.ru/search/4166106;Senior Data Scientist NLP;г Москва;ПАО Сбербанк;05 сентября 2023
https://rabota.sber.ru/search/4193893;Lead Data Scientist;г Калининград, Калининградская область;ПАО Сбербанк;01 августа 2023
https://rabota.sber.ru/search/4191269;Data engineer;г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4199441;Middle/Senior Data scientist;г Москва;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4206884;Data Analyst;г Москва;ПАО Сбербанк;06 сентября 2023
https://rabota.sber.ru/search/4193599;Team Lead Data Science(Руководитель направления по исследованию данных);г Москва;ПАО Сбербанк;03 августа 2023
https://rabota.sber.ru/search/4189188;Senior Data Scientist (Валидация моделей кредитного риска КИБ);г Москва;ПАО Сбербанк;25 июля 2023
https://rabota.sber.ru/search/4186948;ML Engineer;г Москва;ПАО Сбербанк;11 июля 2023
https://rabota.sber.ru/search/4180272;Team Lead Data Science;г Москва;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4165824;Data scientist Computer Vision (Биометрия);г Москва;ПАО Сбербанк;01 августа 2023
https://rabota.sber.ru/search/4194707;Senior Data scientist (Управление рисками корпоративных клиентов);г Москва;ПАО Сбербанк;10 августа 2023
https://rabota.sber.ru/search/4174224;Team Lead Data Scientist;г Москва;ПАО Сбербанк;17 сентября 2023
https://rabota.sber.ru/search/4172665;Data scientist (Валидатор моделей банковской и торговой книг);г Москва;ПАО Сбербанк;04 сентября 2023
https://rabota.sber.ru/search/4206736;Middle Data Scientist Sber AI (NLP);г Москва;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4169276;Data Scientist (Блок риски);г Москва;ПАО Сбербанк;13 июля 2023
https://rabota.sber.ru/search/4173501;Middle Data Scientist;г Москва;ПАО Сбербанк;25 июля 2023
https://rabota.sber.ru/search/4198350;Lead Data Scientist в SberAI;г Сочи, Краснодарский край;ПАО Сбербанк;14 августа 2023
https://rabota.sber.ru/search/4169272;Data Scientist в Блок Риски;г Москва;ПАО Сбербанк;14 сентября 2023
https://rabota.sber.ru/search/4197949;Стажер Data Scientist;г Москва;ПАО Сбербанк;18 сентября 2023
https://rabota.sber.ru/search/4213591;Data scientist (Управление рисками корпоративных клиентов);г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4188433;Team Lead Data Scientist (Прогнозирование спроса);г Москва;ПАО Сбербанк;14 июля 2023
https://rabota.sber.ru/search/4143692;Lead Data Scientist NLP;г Москва;ПАО Сбербанк;16 августа 2023
https://rabota.sber.ru/search/4183940;Data Scientist NLP;г Москва;ПАО Сбербанк;18 августа 2023
https://rabota.sber.ru/search/4120349;Data Scientist – Senior/Chief;г Москва;ПАО Сбербанк;11 сентября 2023
https://rabota.sber.ru/search/4186505;Senior Data Scientist в центр фундаментальных исследований (AI Lab);г Москва;ПАО Сбербанк;18 сентября 2023
https://rabota.sber.ru/search/4206809;Senior Data Scientist (Команда «Персонализации коммуникаций от потребности клиента»);г Москва;ПАО Сбербанк;06 сентября 2023
https://rabota.sber.ru/search/4159447;Data Scientist senior;г Москва;ПАО Сбербанк;22 сентября 2023
https://rabota.sber.ru/search/4205072;Data scientist (Брокерский бизнес);г Казань, республика Татарстан;ПАО Сбербанк;01 сентября 2023
https://rabota.sber.ru/search/4210250;Senior Data Scientist (NLP);г Москва;ПАО Сбербанк;28 сентября 2023
https://rabota.sber.ru/search/4212815;Data scientist (GigaChat);г Москва;ПАО Сбербанк;29 сентября 2023
https://rabota.sber.ru/search/4090760;Data/backend инженер;г Нижний Новгород, Нижегородская область;ПАО Сбербанк;12 сентября 2023
https://rabota.sber.ru/search/4190285;Бизнес - аналитик (Data-продуктов);г Москва;ПАО Сбербанк;05 сентября 2023
https://rabota.sber.ru/search/4201208;IT-рекрутер;г Санкт-Петербург;ПАО Сбербанк;05 сентября 2023
https://rabota.sber.ru/search/4186025;IT Рекрутер в Сбер;г Москва;ПАО Сбербанк;27 июля 2023
https://rabota.sber.ru/search/4211281;Исследователь данных;г Екатеринбург, Свердловская область;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4155861;Python разработчик;г Москва;ПАО Сбербанк;07 июня 2023
https://rabota.sber.ru/search/4105896;Intelligence Analyst (Специалист по киберразведке);г Москва;ПАО Сбербанк;14 августа 2023
https://rabota.sber.ru/search/4173269;Системный аналитик;г Самара, Самарская область;ПАО Сбербанк;26 июля 2023
https://rabota.sber.ru/search/4188403;Data Analyst (Динамическое ценообразование);г Москва;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4206153;Senior \ Lead MLops (ИСУ);г Москва;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4205226;Аналитик данных (команда Analytics Kit);г Москва;ПАО Сбербанк;06 сентября 2023
https://rabota.sber.ru/search/4199741;Руководитель направления AI;г Москва;ПАО Сбербанк;01 сентября 2023
https://rabota.sber.ru/search/4168611;Администратор SAP Basis;г Санкт-Петербург;ПАО Сбербанк;08 сентября 2023
https://rabota.sber.ru/search/4168609;Администратор SAP Basis;г Москва;ПАО Сбербанк;14 августа 2023
https://rabota.sber.ru/search/4201511;Data Engineer (Пульс);г Москва;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4196222;Senior Java разработчик;г Санкт-Петербург;ПАО Сбербанк;07 августа 2023
https://rabota.sber.ru/search/4133447;Менеджер по кампаниям продаж;г Москва;ПАО Сбербанк;24 июля 2023
https://rabota.sber.ru/search/4176119;NLP Researcher в Sber AI Lab (Мед группа);г Москва;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4069976;Data engineer в рекомендательные системы;г Нижний Новгород, Нижегородская область;ПАО Сбербанк;28 сентября 2023
https://rabota.sber.ru/search/4185457;IT Recruiter;г Москва;ПАО Сбербанк;06 июля 2023
https://rabota.sber.ru/search/4203255;Senior Data Engineer (SberDevices);г Москва;ПАО Сбербанк;05 сентября 2023
https://rabota.sber.ru/search/4214072;Machine Learning Engineer (Рекламная платформа);г Москва;ПАО Сбербанк;27 сентября 2023
https://rabota.sber.ru/search/4191444;Senior data analyst;г Москва;ООО СК Сбербанк Страхование;11 сентября 2023
https://rabota.sber.ru/search/4202156;Middle Data Engineer (SberDevices);г Москва;ПАО Сбербанк;05 сентября 2023
https://rabota.sber.ru/search/4197384;Java разработчик (senior);г Москва;ПАО Сбербанк;16 августа 2023
https://rabota.sber.ru/search/4202157;Senior Data Engineer (SberDevices);г Москва;ПАО Сбербанк;05 сентября 2023
https://rabota.sber.ru/search/4184650;Middle Data Engineer (SberDevices);г Москва;ПАО Сбербанк;05 сентября 2023
https://rabota.sber.ru/search/4157981;Lead Data Analyst (с функцией Data Science);г Москва;ПАО Сбербанк;04 сентября 2023
https://rabota.sber.ru/search/4186275;Data Engineer (Рекомендательная система);г Москва;ПАО Сбербанк;10 июля 2023
https://rabota.sber.ru/search/4200184;Frontend-разработчик;г Москва;ПАО Сбербанк;18 августа 2023
https://rabota.sber.ru/search/4189678;Support / OPS engineer (linux + Hadoop);г Москва;ПАО Сбербанк;24 июля 2023
https://rabota.sber.ru/search/4203732;Senior Data Analyst Private Banking;г Москва;ПАО Сбербанк;01 октября 2023
https://rabota.sber.ru/search/4159604;Data Engineer;г Санкт-Петербург;ПАО Сбербанк;10 июля 2023
https://rabota.sber.ru/search/4149472;Системный аналитик;г Москва;ПАО Сбербанк;12 июля 2023
https://rabota.sber.ru/search/4207650;ML разработчик (команда СберСпасибо);г Москва;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4207280;Data Engineer (Брокерский бизнес);г Казань, республика Татарстан;ПАО Сбербанк;07 сентября 2023
https://rabota.sber.ru/search/4176195;Ведущий юрисконсульт-алгоритмист;г Санкт-Петербург;ПАО Сбербанк;29 сентября 2023
https://rabota.sber.ru/search/4137287;Ведущий аналитик данных;г Москва;ПАО Сбербанк;14 августа 2023
