link;name;location;company;vacancy_date;date_of_download;description
https://rabota.sber.ru/search/4214297;Data Engineer;г Москва;ПАО Сбербанк;2023-10-02;2023-10-15;"Мы - это продуктовая IT компания по созданию highload проектов в сфере недвижимости. Наш основной проект Домклик - это платформа для проведения сделок по недвижимости, доступная на всех популярных платформах (Web, iOS, Android).

Мы ищем сильного инженера в наше подразделение, занимающееся Data Engineering.
Обязанности
Проектировать архитектуру АХД, разрабатывать и запускать сервисы c DЕ-решениями;
Развивать и улучшать существующие продукты и сервисы;
Участвовать в проработке и реализации интеграций с другими сервисами и командами (кстати, у нас полностью микросервисная архитектура);
Обеспечивать высокое качество кода и улучшать процессы в своей команде;
Участвовать в развитии инфраструктурных решений для работы с big data.
Требования
Отлично знаете SQL, Python;
Имеете опыт построения аналитического хранилища данных.

Плюсом будет:
Опыт работы с Greenplum, PostgreSQL, Clickhouse.
Условия
проекты большого масштаба в которых есть возможность делать жизнь миллионов людей лучше
сложные и интересные задачи: высоконагруженные сервисы, которые задают уровень для конкурентов качеством и технологиями
оборудование: мощное железо, дополнительные мониторы ― все для решения масштабных задач и экспериментов
льготная программа на покупку недвижимости в новостройке или строительство дома для IT от 4,7%
команда: работа бок о бок со лучшими из IT-индустрии, каждый из которых может поделиться своей экспертизой
профессиональное развитие: развиваем культуру профсообществ и внутри компании мы организуем meetup, встречи разработчиков и тестировщиков, семинары и тренинги, куда открыт доступ каждому сотруднику
новый опыт - лучшие сотрудники выступают на ИТ-конференциях
гибридный формат работы
здоровье и спорт: программа ДМС для сотрудников и их родственников, собственный тренажерный зал в офисе."
https://rabota.sber.ru/search/4201511;Data Engineer (Пульс);г Москва;ПАО Сбербанк;2023-09-19;2023-10-15;"HR платформа Сбера – собственный продукт компании, который покрывает весь жизненный цикл работы с человеческим капиталом: подбор, обучение, развитие, оценка, результативность, обратная связь и др.
Мы используем современные подходы и методологии: microservices, cloud-native, Machine Learning и AI. Параллельно строим свой SaaS для вывода продукта на рынок. Не забываем о cybersecurity и high load. В команде следуем культуре Agile и DevOps.
Тебе предстоит развивать хранилище данных для решения бизнес–задач блока HR и поддерживать команду Data Science, обеспечивая их данными для построения моделей.
Обязанности
проектирование и разработка аналитических витрин данных на базе СУБД Greenplum и вывод в промышленную эксплуатацию
реализация потоков поставки данных для потребителей
консалтинг пользователей (DS/DA/DE) по вопросам, связанным с использованием данных
разработка ETL-процессов по преобразованию и загрузке данных
мониторинг и оптимизация процессов загрузки, преобразования данных и сборки витрин
создание инструментов для автоматизации задач, связанных с обработкой данных
разработка и поддержка сопроводительной документации и спецификаций данных, развитие и поддержка базы знаний.
Требования
опыт работы не менее 2 лет в качестве Data Engineer /ETL Developer
опыт работы с Linux-системами
знание SQL на экспертном уровне (аналитические функции, подзапросы, хранимые процедуры, оптимизация запросов)
знание архитектуры МРР СУБД (Greenplum, Teradata, Exadata), опыт практической работы c MPP СУБД
опыт разработки ETL-процессов, построения хранилищ и витрин данных
знание основных понятий и концепций из области Data Warehousing
желание и возможность разбираться в сложных проблемах.
Будет плюсом:
знание Python/Java/Scala
опыт работы с Informatica Power Center/Airflow.
Условия
работа в лучшем офисе страны по версии Best Office Awards 2022 и в шаговой доступности от ст. Кутузовская (метро и МЦК)
стабильный оклад и социальная поддержка сотрудников
расширенный ДМС с первого дня и льготное страхование для близких
корпоративное обучение за счет компании
бесплатную подписку СберПрайм+ и скидки на продукты компаний-партнеров
мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы
многофункциональный спортивный зал (бесплатно)."
https://rabota.sber.ru/search/4211634;Data Engineer (Рекомендательная система);г Москва;ПАО Сбербанк;2023-09-20;2023-10-15;"Наша команда в поиске Data Engineer в одну из частей платформы персонализации Сбера.
Наша цель — создать мощные инструменты для того, чтобы клиенты получали самые релевантные предложения по продуктам банка и экосистемы.
Мы используем современный стек технологий, который позволяет эффективно обрабатывать данные и создавать персонализированные предложения как часы.
Обязанности
управлять и поддерживать формирование предложений на всем жизненном цикле
работать с дефектами и инцидентами для устранения технологических проблем в качестве эксперта
консультировать заказчиков по вопросам логики формирования разработанных предложений 
разрабатывать и внедрять методики контроля качества данных
описывать фичи, готовить требования для смежных команд, разрабатывать спецификации и техническую документацию
разрабатывать отчетность
развивать пользовательский функционал для создания и тестирования формирования предложений
проводить системное, функциональное и интеграционное тестирование
вносить свежие идеи, принимать участие в управлении бэклогом смежных команд.
Требования
общий стаж работы не менее 3-х лет
имеешь развитые аналитические способности и системное мышление
умеешь анализировать данные, работать с большим количеством источников данных
отлично знаешь SQL
знаком с инструментами экосистемы Hadoop
имеешь опыт разработки на Spark (желательно Spark on Scala)
имеешь высокий уровень ответственности
высшее техническое образование.

Будет плюсом:

опыт работы с BI системами в качестве разработчика (Qlik/Tableau/Power BI)
знание розничного банковского бизнеса
знание и понимание DevOps практики.
Условия
deep diving в предметную область, много задач, имеющих прямой эффект на бизнес
dозможность привносить новые идеи и нестандартные решения
dозможности для обучения стеку BigData-разработки
достойную оплату труда
ДМС, сниженные ставки по кредитованию, программы лояльности для сотрудников
современный офис рядом с метро Кутузовская, бесплатный фитнес в офисе."
https://rabota.sber.ru/search/4208566;Data Engineer;г Москва;ПАО Сбербанк;2023-10-09;2023-10-15;"Сбер сейчас - крупнейшая цифровая платформа. Технобренд, объединяющий лучшие мировые практики и самый современный стек.
Мы ищем в команду Дата инженера, который будет помогать разрабатывать и улучшать наши продукты.
Обязанности
Проектирование и разработка аналитических витрин по предсказаниям поведения клиентов, их склонностей и потребностей, отчетности и моделирования на стеке Hadoop + Spark + Java;
Мониторинг и оптимизация процессов сборки витрин;
Участие в формировании и улучшении подхода к разработке витрин;
Разработка и поддержка сопроводительной документации и спецификаций данных, Развитие и поддержка базы знаний по вопросам работы с данными.
Требования
Опыт проектирования витрин данных и хранилищ данных;
Знание типовой инфраструктуры DWH;
Опыт разработки на платформе Hadoop от 1,5 лет;
Опыт работы со стеком Hadoop (HDFS, Yarn, Hive, Spark, Oozie);
Опыт работы с Kafka, Ozone будет плюсом;
Опыт работы с DevOps-инструментами (Jira, Jenkins, Ansible, Nexus, Git и пр.);
Отличное знание SQL, опыт оптимизации запросов;
Умение читать и разбираться в реализации чужого кода;
Будет преимуществом знание Java;
Желание развиваться в направлении BigData.
Условия
Стать частью молодой команды профессионалов, занимающейся решением задач не только бэклога от заказчика, но и собственными RND;
Стабильный оклад и социальная поддержка сотрудников;
Расширенный ДМС с первого дня работы для сотрудников и льготная медицинская страховка для близких;
Бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров
Корпоративная пенсионная программа;
Корпоративное обучение за счет компании;
Реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение до 100 тыс. рублей;
Официальное оформление с первого дня;
Корпоративный спортзал и скидки в спортзалы-партнеры;
Мощное железо, развитая инфраструктура и всё, что нужно для продуктивной работы;
Формат работы: офис, гибкое начало рабочего дня."
https://rabota.sber.ru/search/4219608;Data Engineer (SQL Разработчик);г Москва;ПАО Сбербанк;2023-10-13;2023-10-15;"Команда занимается автоматизацией процесса подготовки и проведения маркетинговых кампаний Корпоративным клиентам банка, используя информацию из всех аналитических хранилищ банка. Наши инструменты помогают эффективно управлять перекрестными продажами, удерживать существующих клиентов и находить новых, повышая доходность клиентской базы и окупаемость инвестиций в маркетинг.
Обязанности
·      Обеспечение сбора и организация процесса загрузки данных в аналитические системы, включая получение структурированных и не структурированных данных из различных источников, подготовку, очистку и предобработку данных из внешних источников;
·      Оптимизация процессов обработки;
·      Написание и оптимизация SQL запросов;
·      Написание функций на PL/pgSQL;
·      Написание и поддержка скриптов парсинга Confluence на Python;
·      Работа на тестовых средах, прохождение ПСИ, вывод релизов;
·      Настройка сценария запуска расчетов;
·      Работа в качестве 3ЛС: поиск причин падений потоков н устранение причин падений.
Требования
Промышленный опыт работы с СУБД (GreenPlum, PostgreSQL и т.д.);
Понимание принципов ETL/ELT;
Опыт проектирования интеграций источников данных;
Хорошее знание SQL (структура хранения, написание продвинутых запросов, оптимизация);
Умение аргументированно обосновывать свое мнение и решения.
Промышленный опыт работы с GreenPlum;
Знания Python;
Опыт проведения Code Review;
Опыт работы в методологии Data Vault/Data Lake;
Опыт работы с BitBucket/Jenkins.
Условия
Условия для г.Москва:
·      Офис «Sbergile Home» рядом с м. Кутузовская;
·      Бесплатный фитнес-зал с душевыми кабинами и сауной, настольные игры на этажах;
·      ДМС, страхование от несчастных случаев, социальные гарантии, корпоративные мероприятия;
·      Сниженные ставки по кредитованию, программы лояльности для сотрудников;
·      Возможность профильного обучения (обучение, сертификация, конференции, в т.ч. зарубежные за счет компании);
·      Интересные, сложные, амбициозные задачи;
·      Создание продуктов для многомиллионной аудитории пользователей;
·      Профессиональный рост в молодой и сильной команде."
https://rabota.sber.ru/search/4189112;Data Engineer;г Москва;ПАО Сбербанк;2023-10-11;2023-10-15;"Наша команда занимается разработкой витрин данных и созданием внутренних инструментов для автоматизации процесса разработки и вывода, исследованием новых источников данных, помогает командам соседних подразделений построить интеграцию с нашими процессами. Мы ищем специалиста, желающего развиваться в DE и готового делиться своими знаниями с коллегами.
Обязанности
исследование источников данных (внешних данных, реплик АС Банка, других витрин)
разработка и изменение витрин данных на Hadoop/GreenPlum исходя из требований аналитиков данных
создание алгоритмов загрузки данных в витрины с учётом историчности, уникальности, логики обновления таблиц
написание функций для первичной обработки, преобразования и агрегации данных на Spark (Scala, Java, Python)
понимание работы Hive, Spark на Hadoop
базовые знания языков программирования Python
знание SQL на уровне аналитических запросов
понимание объектно-ориентированного подхода к разработке
умение обращаться с git, bash
Будет плюсом
опыт разработки на Spark/PySpark
оптимизация выполнения сценариев на Spark
понимание процессов ETL, ELT
Условия
команда высокомотивированных и увлеченных профессионалов, с которой вы получите максимальное удовольствие от работы
мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы
возможность работы с новыми технологиями
обучение за счет компании
красивый и комфортный офис на Кутузовском пр-те, 32
ДМС с первого дня"
https://rabota.sber.ru/search/4215913;Data Engineer;г Калининград, Калининградская область;ПАО Сбербанк;2023-10-11;2023-10-15;"Разработка витрин данных для клиентской аналитики и запуска кампаний продаж по сегменту корпоративно-инвестиционного бизнеса, а также построение отчетности по совершенным сделкам и развитие CustomerValueManagement. Команда консолидирует данные из различных внешних и внутренних источников, запускает пилотные проекты, обогащает и управляет данными в соответствии с требованиями бизнес-заказчиков.

Рабочее место в г. Калининграде.
Обязанности
- разработка и сопровождение витрин данных
- написание функций и хранимых процедур для преобразования и агрегации данных
- обеспечение сбора и организация процесса загрузки данных в аналитические системы, включая получение структурированных и не структурированных данных из различных источников, подготовку, очистку и предобработку данных из внешних источников
- оптимизация процессов обработки
- исследование источников данных
- взаимодействие со смежными командами
- участие в выводе функционала в промышленную эксплуатацию.
Требования
- высшее техническое и/или экономическое образование
- хорошее знание SQL (структура хранения, написание продвинутых запросов, оптимизация)
- опыт работы хотя бы с одним стеком – Greenplum/Oracle/Hadoop/MSSQL и т.п.
- умение работать с Confluence/Jira
- умение аргументированно обосновывать свое мнение и решения

Будет плюсом:
- участие в сложных интеграционных проектах по развитию гибридного DWH (Hadoop, Greenplum, Oracle, Teradata) в качестве разработчика
- работа с большими объемами данных
- опыт работы с ETL-инструментами (Informatica BDM, ODI, Pentaho) и BI-средствами
- опыт работы с Hadoop (Hive, Impala, sqoop, oozie, HDFS, YARN)
- опыт работы с Kafka, Spark
- навыки программирования на Python/Java/Scala
- опыт работы с Unix shell
- знания предметной области «Банки и финансы».
Условия
интересные задачи, результат реализации, которых можно увидеть очень скоро
формат работы: офис в г. Калининграде
стабильный оклад+ годовое премирование , оформление по ТК
бесплатный тренажерный/игровой зал на территории офиса либо возможность приобретения льготного абонемента в Фитнесс Хаус
профессиональный коллектив, готовый принимать и считаться с любой точкой зрения
расширенный ДМС с первого дня работы для сотрудников и льготная медицинская страховка для близких
бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров
корпоративная пенсионная программа
корпоративное обучение за счет компании, в т.ч. посещать конференции по профессиональной тематике, а так же огромный каталог образовательных программ
реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение до 100 тыс. рублей
мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы·
работу по Agile с лучшими из IT индустрии: 2000 продуктовых команд и возможность внутреннего перемещения
льготные условия кредитования (ИПОТЕКА в тч)
яркая корпоративная жизнь: «Зелёный марафон», Сбербанкиада, КВН
свободный dress code
возможность самостоятельного выбора необходимых технологий, а так же возможность привнести своё видение в проект."
https://rabota.sber.ru/search/4208486;Data Engineer;г Екатеринбург, Свердловская область;ПАО Сбербанк;2023-10-09;2023-10-15;"В команде развития и поддержки розничных инструментов управления открыта вакансия дата инженера в проекты по анализу эффективности работы филиальной сети банка.
Обязанности
Поиск данных по ключевым показателям работы бизнес-подразделений
Организация потоков данных самостоятельно и при помощи DE из различных хранилищ в среду дальнейшей обработки данных
Создание алгоритмов и процедур трансформации данных с целью дальнейшего построения управленческой отчетности
Выяснение методологии расчета бизнес-показателей у смежных подразделений с целью дальнейшего использования в аналитике и BI инструментах
Исследование показателей сети и данных по операциям клиентов, проверка гипотез, проведение А/В тестирования;
Поиск «инсайтов», аномалий, направлений развития для сети отделений и банкоматов
Создание аналитических витрин и дэшбордов, подготовка регулярных и разовых аналитических заключений, автоматизация этого процесса
Проведение ad-hock анализа по запросам руководителей.
Требования
Высшее математическое / техническое образование
Опыт работы по направлению аналитики не менее 1 года
Умение презентовать результат работы (в т.ч. в PowerPoint)
Опыт создания инструментов принятия решений
Опыт работы с большими объемами данных
Опыт работы с базами данных (PostgreSQL, Greenplum). Желателен опыт работы с Hadoop
Опыт автоматизации и оптимизации процессов
Базовые знания математической статистики, теории вероятностей
Знание инструментов аналитики и автоматизации, минимум – отличное знание SQL, Excel (сложные формулы).
Условия
Официальное оформление с первого дня
Офис в центре города. Пятидневная рабочая неделя с 9:00-18:00, в пятницу до 16:45
Льготные условия кредитования
ДМС с первого дня и льготное страхование для близких
Бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Сбер Еаптека и других
Корпоративная пенсионная программа
Обучение за счет компании: онлайн курсы в Виртуальной школе Сбера, возможность получить новую квалификацию
Стабильный оклад и премии по итогам работы
Корпоративный спортзал и скидки в спортзалы-партнеры (если есть на территории)."
https://rabota.sber.ru/search/4218904;Data Engineer;г Москва;ПАО Сбербанк;2023-10-12;2023-10-15;"Мы команда робототехники Центра Робототехники Сбера. Прямо сейчас мы стоим на пороге нового и увлекательного проекта, который объединяет в себе мобильную и манипуляционную робототехнику. Наша цель достаточно амбициозна - создать универсальный мозг для робота, программный стек, который сможет работать с различными подвижными платформами и манипуляторами. При этом робот будет воспринимать команды от человека, сформулированные на естественном языке.

Наша миссия заключается в том, чтобы сделать робототехнику более доступной для людей, устранить препятствия, которые могут возникнуть при внедрении робототехнических комплексов в промышленности, сельском хозяйстве и повседневной жизни.
Обязанности
Участвовать в создании S3 хранилища данных и настройки инструментов для него;
Создавать логические Hive-таблицы, слои данных в Postgre;
Разрабатывать ETL-пайплайны для сохранения датасетов с различными типами данных (видеоданные, изображения, лидарные данные, геоданные и пр.), пред- и пост-обработки данных, переноса данных, агрегации и т.п.;
Разрабатывать библиотеку для работы с данными (например, для фрагментарного доступа к данным и данным целиком);
Разрабатывать процедуры для администрирования, мониторинга и для прочих обвязок БД;
Автоматизировать ""ручные"" процессы;
Подготавливать docker-образы с ETL;
Собирать и фиксировать требования, вести документацию;
Поддерживать инфраструктуру (администрирование ETL, поддержка БД, поддержка разработанных фреймворков);
Разрабатывать витрины данных для аналитики (ClickHouse).
Требования
Мы ищем единомышленников, которые разделяют нашу страсть к робототехнике и обладают навыками разработки сервисов для задач, связанных с хранилищем данных и ML.

Необходимые навыки, которые должны быть у кандидатов:
Опыт работы с хранилищами данных S3
Опыт работы с данными (видеоданные, изображения, лидарные данные, геоданные и пр.)
Опыт работы с базами данных PostgreSQL
Опыт работы с Hive Metastore
Опыт построения ETL-пайплайнов (Airflow и др.)
Хорошие знания Spark
Опыт разработки на Python (PySpark, PyArrow и др.)
Знание основных паттернов проектирования, умение выбирать абстракции и писать понятный и поддерживаемый код
Опыт работы с Docker
Хорошее понимание модели MapReduce, алгоритмов и структур данных

Хотя мы ожидаем, что потенциальные кандидаты будут обладать некоторыми из перечисленных качеств, мы также открыты для тех, кто может дополнить нашу команду другими ценными навыками и качествами.

Также плюсом будет:
Open-source проекты
Опыт работы с ClickHouse
Опыт разработки на С++
Опыт доведения R&D до Production
Опыт разработки высоконагруженных ETL, понимание принципов масштабирования и обеспечения отказоустойчивой инфраструктуры
Опыт работы хотя бы с одним из следующих коммуникационных протоколов / брокеров: MQTT, Apache Kafka, RabbitMQ, ZeroMQ, Cyclone DDS
Опыт работы с DevOps, MLOps Опыт работы с ROS1, ROS2, RVIZ
Опыт визуализации данных в Python
Условия
Локация: г. Москва, башня Сбера на Кутузовском к32, работаем из офиса.

Вилка после налогов: обсуждаемо

Плюшки: Годовые бонусы до нескольких окладов, ДМС после трехмесячного испытательного срока, корпоративный спорт-зал, печеньки, роботы :)"
https://rabota.sber.ru/search/4193100;Data engineer (Рекламная платформа/Управление данными);г Москва;ПАО Сбербанк;2023-10-13;2023-10-15;"Мы - новая быстрорастущая команда, создающая сервис, который будет управлять цифровыми рекламными поверхностями и платформой по размещению рекламы на поверхностях Банка и Экосистемы.
Используя данные СБЕРа и технологические решения его экосистемы, мы сможем реализовать уникальный сервис на рынке digital marketing. Он позволит нам показывать пользователям рекламу, которая будет нравиться и которая будет делать рекламные продукты эффективными и измеримыми для рекламодателей.
Если вы талантливый и амбициозный специалист в сфере ИТ, если вы хотите быть причастными к созданию лучших продуктов для лучших клиентов и уверенно отвечать за результаты, то мы рады принять вас в команду.
Обязанности
анализировать используемый стек технологий на соответствие текущим потребностям продуктовых бизнес-команд, выявлять нереализованные потребности;
проводить RnD, изучать облачные технологии и новое open-source ПО (соответствует ли оно нашим стандартам и действительно ли закрывает выявленные потребности);
прорабатывать архитектурные вопросы взаимодействия существующих и добавляемых компонентов платформы как между собой, так и с внешними системами (источники, потребители);
автоматизировать развертывание ПО;
заниматься ""платформизацией"" используемого стека с целью максимальной автоматизации и оптимизации процесса параллельной независимой разработки на платформе (скрытие сложности реализации низкоуровнего ПО типа Hadoop или Airflow за определенным уровнем абстракции путем разработки интерфейсов, процессов, CI/CD пайплайнов, соглашений, документации и т.д., чтобы продуктовые разработчики могли сосредоточиться на решении прикладных задач);
оказывать поддержку разработчикам Data Lake из продуктовых команд;
эпизодически решать прикладные задачи на платформе для понимания опыта разработчиков из продуктовых команд - построение ETL-пайплайнов для загрузки в/из Data Lake с использованием платформенных инструментов;
осуществлять поддержку и решать инциденты в прод-контуре (в том числе от пользователей).
Требования
Стек:
RHEL, Hadoop, Hive, Spark, Greenplum, PostgreSQL, Airflow, Kafka, Jira/Confluence, gitlab, Docker, Kubernetes, Grafana.
Командная коммуникация в SberJazz, текстовые сообщения (включая от ботов по мониторингу) - в MatterMost.
Мы тебя ждем, если ты:
работал с SQL и не раз писал сложные запросы
использовал на практике Kubernetes и S3
использовал Hadoop, знаешь, как работает YARN, как эффективно хранить данные на HDFS, писал запросы в Hive
знаешь, что такое Unit тесты
писал код на Spark и можешь считать данные сервиса, используя его Rest API, отсортировать, отфильтровать их и сохранить результат в HDFS или в S3
Знаком с различными типами СУБД (SQL, NoSQL) и профилями использования (OLAP, OLTP) и можешь аргументированно выбрать оптимальный тип СУБД под задачу
имеешь опыт работы с Airflow или любым другим оркестратором
понимаешь, что такое DevOps
пишешь прозрачный читающийся код, разделяешь его на классы, применяешь паттерны
Как плюс:
имел опыт с Kafka или другим message broker'ом и знаешь основные концепции потоковой обработки данных
знаком с банковской предметной областью
имеешь опыт разработки/внедрения систем класса DWH
можешь деплоить приложения в Docker
разбираешься в CI/CD практиках и инструментах
можешь продемонстрировать один из своих проектов на GitHub
умеешь писать на Java или Scala (на последней - применительно к использованию в связке со Spark)
Условия
работа в команде профессионалов, возможность разрабатывать уникальные и крупные проекты масштаба нашей страны
можно работать в офисе или в смешанном графике, гибкое начало рабочего дня
конференции и обучение на корпоративных или вендорских курсах за наш счёт
отличная ДМС, которая распространяется на ваших членов семьи
льготные условия по ипотеке и кредитам
материальная помощь и социальная поддержка
корпоративная пенсионная программа
офис в бизнес-центре м. Маяковская"
