link;name;location;company;vacancy_date;date_of_download;description
https://team.vk.company/vacancy/31649/;Руководитель проектов в Data Office;Москва, комбинированный;Data office;1970-01-01;2023-10-15;"Руководитель проектов в Data Office, Москва
Откликнуться
Data Office появился пару лет назад. Наша команда:
• строит хранилище данных для VK;
• запустила Data Portal как отдельный сервис для удобного взаимодействия с данными; основные наши пользователи — маркетологи, менеджеры продуктов, аналитики, дата-сайентисты;
• провела десятки обучающих мероприятий для менеджеров и аналитиков;
• организовала сообщества DS/ML и Analytics и объединила дата-сайентистов и аналитиков всех продуктов VK;
• провела сотни A/B-тестов и продуктовых исследований.Каждый день мы работаем с огромными объёмами данных (50 петабайт), используем современный стек технологий (Spark, Airflow, Presto, Vertica, ClickHouse) и разрабатываем современные дата-сервисы, которые помогают развиваться каждому продукту в компании.
За год наша команда выросла в пять раз. Основные функциональные направления нашей работы:
• Data Analytics,
• Data Engineering,
• Data Science,
• Product and Service Development.
Ищем специалиста, который разберётся, какие DS- и ML-задачи решаются в VK, и создаст новые возможности для наших продуктов, используя имеющиеся данные.
Задачи
• продвигать дата-продукты и технологии Data Office внутри VK, а также тесно работать с командой дата-сайентистов;
• собирать обратную связь о пользе, которую приносят продукты и технологии Data Office;
• взаимодействовать с подразделениями VK, выявлять их потребности в зоне ответственности нашей команды, обмениваться данными и технологиями;
• искать новые возможности применения ML для развития VK.
Требования
• знаете SQL и Python;
• разбираетесь в ML и внедряли ML-продукты.
У нас интересно, потому что:
• мы анализируем данные и выдвигаем, разрабатываем и тестируем гипотезы по улучшению продуктовых метрик в продуктах;
• вы сможете узнать, как устроены все продукты VK, поработать с их данными и реализовать с нуля новые проекты.
Формат работы
комбинированный
Уровень
senior
График работы
полный
Data office
Data office — подразделение в департаменте по экосистемным продуктам. Команда строит внутренние сервисы и продукты для использования данных в аналитике, развитии продуктов и машинном обучении. Наша ключевая цель — сделать данные полезными для каждого сервиса в группе и всей экосистемы в целом.
Подробнее о проекте"
https://team.vk.company/vacancy/33669/;Data Analyst в Data Office;Москва, гибкий;ВКонтакте;1970-01-01;2023-10-15;"Data Analyst в Data Office, Москва
Откликнуться
Data Office — центральный хаб данных VK. Мы создаём data-продукты, делаем единую точку входа для всей аналитики в VK и автоматизируем различные сценарии работы с данными.

Ищем самостоятельного специалиста по аналитике и большим данным, который поможет нам развить систему мониторинга и контроля качества работы data-продуктов.
Задачи
исследовать данные;
создавать и поддерживать дашборды;
разрабатывать и поддерживать пайплайны расчёта метрик;
мониторить процессы и контролировать качество данных.
У нас интересно, потому что:
в нашем хранилище десятки петабайт данных;
задачи очень разнообразны как с технической, так и с продуктовой точки зрения;
вы сможете напрямую влиять на результат и видеть эффект от своей работы.
Требования
знаете классические алгоритмы и структуры данных;
уверенно владеете Python и SQL;
понимаете, как взаимодействовать с командной строкой Linux;
работали с Hadoop (HDFS, Spark, Hive, Presto), Superset, Grafana + Graphite.
Будет плюсом
работали с Jira, Confluence;
знаете Luigi, Airflow;
разрабатывали продакшен-решения;
разбираетесь в ML.
Формат работы
офисный комбинированный дистанционный
Уровень
junior middle
График работы
полный
ВКонтакте
ВКонтакте — один из самых высоконагруженных проектов рунета. В сутки у нас бывает до 30 релизов и 125 миллиардов запросов к API. Всё это вытягивает небольшая команда разработчиков, где каждый — суперпрофессионал, который нашёл интересные для себя задачи. 
Подробнее о проекте"
https://team.vk.company/vacancy/32527/;Data Scientist R&G;дистанционный;VK;1970-01-01;2023-10-15;"Data Scientist R&G
Откликнуться
Команда R&D занимается поиском точек повышения эффективности, развивают их, внедряют в продакшен. Второй большой блок задач - это research.
Мы в поиске Data Scientist!
Задачи
Анализ данных для поиска потенциальных точек роста и выдвижения гипотез;
Построение моделей для предикта целевых действий юзера;
Оценка экспериментов по внедрению моделей и интерпретация результатов, подготовка выводов для бизнес-заказчика;
Предложение идей по улучшению моделей
Требования
Знание SQL на уровне написания сложных запросов;
Знания в области математической статистики, эконометрики;
Понимание основных алгоритмов ML;
Знание Python (аналитический и ML стек);
Опыт анализа данных
Формат работы
дистанционный
Уровень
middle senior
График работы
полный
VK
VK — это более 200 технологичных проектов, больше 11 000 сотрудников и миллион возможностей проявить себя. Мы делаем современные и быстрые интернет-сервисы, доступные каждому.
Подробнее о проекте"
https://team.vk.company/vacancy/33748/;Data Engineer;Москва, гибкий;VK Реклама;1970-01-01;2023-10-15;"Data Engineer, Москва
Откликнуться
Наш департамент создаёт рекламные продукты и инструменты для бизнеса. Это myTarget, рекламный кабинет ВКонтакте и платформа VK Реклама. Наши разработки также интегрированы в другие продукты VK: Одноклассники, Портал и Почту Mail․ru. Всё это открывает бизнесу доступ к 95% мобильной аудитории рунета. У нас в команде минимум бюрократии и максимум возможностей влиять на продукт — воплощение фич от идеи до релиза может занимать всего пару недель.
Ищем опытного и самостоятельного дата-инженера, который будет участвовать в создании ML-инструментов. Предстоит разрабатывать и поддерживать код на Scala/Spark (UDF/UDAF, Spark ML Transformers, etc.) и Python (платформа ML/ETL). А ещё помогать команде следить за качеством генерируемых данных.
У нас вы будете работать с данными популярных соцсетей (ВК, ОК, Дзен) и других проектов экосистемы VK. Также надеемся, что вам понравится наш кластер Hadoop на примерно 75 петабайтов.
Задачи
Проектировать, разрабатывать и поддерживать инструменты для создания надёжных пайплайнов обработки данных;
участвовать в развитии системы для создания и использования ML-моделей;
исследовать и интегрировать в продукт новые источники данных;
создавать витрины признаков для ML-моделей.
Требования
Знание алгоритмов и структур данных;
умение писать качественный, поддерживаемый код на Scala, Python, SQL;
опыт использования Hadoop, знание механизмов распределённого хранения и обработки данных (HDFS, Spark, Hive);
знакомство с Bash, Git, Linux, Docker;
опыт работы с терминалом по SSH.
Будет плюсом
Умение использовать Luigi, Airflow, Kafka;
опыт написания Spark UDF/UDAF на Catalyst API и трансформеров spark.ml;
знание Java и нюансов JVM;
понимание классических ML-моделей, задач и методов DS.
Формат работы
офисный комбинированный дистанционный
Уровень
middle senior
График работы
полный неполный сменный
VK Реклама
Наша команда занимается рекламной платформой VK реклама, объединяющей все крупнейшие в России и СНГ социальные сети и сервисы с общим охватом более 140 млн человек.
Подробнее о проекте"
https://team.vk.company/vacancy/30207/;Data Engineer;Москва, гибкий;Рекламные технологии и развитие СМБ;1970-01-01;2023-10-15;"Data Engineer, Москва
Откликнуться
Команда DWH агрегирует в себе накопленную экспертизу и лучшие практики холдинга в области построения хранилищ данных и аналитических приложений. Мы превращаем информационный хаос в четко организованную систему, которая позволяет собирать, обрабатывать и анализировать любые объемы данных. В нашей команде убеждены, что системы хранилищ данных должны максимально помогать людям — автоматизировать рутинные задачи, собирать и анализировать сырые данные, подготавливать почву для удобного и аргументированного принятия  решений.
Мы ищем BigData инженера, готового принять активное участие в разработке одного из крупнейших хранилищ группы компании: десятки петабайт данных, количество узлов кластера более 400, ежедневный прирост информации составляет десятки тб. В хранилище собрана информация большинства ключевых бизнес-юнитов компании, которая описывает поведение пользователей рунета: события посещений сайтов, клики\показы рекламы, использование мобильных приложений, профили соц.сетей пользователя, действия пользователей в соц.сетях и их публичные сообщения и т.д. Все это позволяет составить достаточно полную картину поведения пользователя во всех сервисах mail.ru и строить на полученных данных сложные математические модели.
Наш стек технологий включает, но не ограничивается:
Database Systems: MySQL, Tarantool, ClickHouse.
Hadoop: Hive, Spark, MapReduce, Kafka.
DataFlow / ETL: Luigi, Airflow.
Business Inteligence: Tableau,  Redash, SuperSet.
Continuous Integration: Jenkins, GitLab CI.
IssueTracking / KnwoledgeBase : Jira, Confluence.
Monitoring: Sentry, Graphite, Grafana, Prometheus, Telegraf.
Задачи
Участие в роли BigData Engineer в проекте построения системы обработки и хранения разнородной информации из различных бизнес-юнитов компании на базе Hadoop (BigData DWH);
Исследование большого объема необработанных данных, накопленных в компании;
Построение и оптимизация нетривиальных ETL процессов обработки больших данных, участие в построении процессов потребления данных на всех этапах, их трансформации от появления информации в конкретном Бизнес Юните до монетизации полученных знаний;
Взаимодействие с командой Data Scientist и совместная реализация стабильного расчета математический моделей;
Поддержка и модификация созданного решения, ответственность за доступность сервиса для внутренних потребителей и корректность предоставляемых для принятия решений данных.
Требования
Не менее года релевантного опыта работы;
Опыт работы с большими объемами данных, понимание стека технологий hadoop, глубокое знание Spark или Hive (плюсом будет знание Java, Scala в контексте обработки больших данных);
Опыт организации ETL процессов обработки данных (плюсом будет знание code-driven ETL Luigi, Airflow);
Знание классических алгоритмов и структур данных (плюсом будет опыт разработки на python);
Знания в области теории обработки и хранения информации;
Ссылки на публичные репозитории, статьи с примерами работы приветствуются.
Формат работы
комбинированный дистанционный
Уровень
middle senior
График работы
полный
Рекламные технологии и развитие СМБ
Направление объединяет рекламные продукты и инструменты для бизнеса —  VK Реклама, ОРД, MyTracker, которые упрощают начало работы и ежедневное взаимодействие с рекламными кампаниями для любых категорий пользователей от начинающих предпринимателей до профессионалов маркетинга.
Подробнее о проекте"
https://team.vk.company/vacancy/33580/;Data Engineer;Москва, гибкий;Одноклассники;1970-01-01;2023-10-15;"Data Engineer, Москва
Откликнуться
Порекомендовать
Бонус за рекомендацию: 115000 ₽
В команду, занимающуюся анализом и хранением данных, ищем человека на роль Data Engineer. Основные задачи команды – это построение и оптимизация ETL-процессов на базе Hadoop-стека.
Мы ожидаем хорошее понимание принципов распределённых вычислений, опыт работы с данными и навыки самостоятельного ведения задач и проектов.
Конкретный опыт с теми или иными технологиями не сильно критичен, важно понимание основных принципов работы с большими данными, алгоритмов их обработки и умение работать без четких ТЗ, плотно взаимодействуя с заказчиком.
Задачи
активное взаимодействия с продуктовыми командами для решения собственных задач;
продвижение культуры работы с данными внутри команды и за её пределами;
участие в определении направления развития data platform и ETL-фреймворка;
построение новых и оптимизация существующих ETL-процессов, преимущественно на Spark + Java;
Ad-hoc задачи по подготовке данных, их автоматизация;
участие в доработках платформы и фреймворков для расчетов;
анализ сырых данных, построение модели данных.
Требования
опыт самостоятельного ведения проектов, прямого общения с бизнесом;
опыт продвижения своих идей, внедрения новых процессов работы с данными;
уверенное понимание принципов и опыт работы с большими объемами данных и распределенными вычислениями;
опыт работы или знакомство с Hadoop-стеком: в первую очередь, Spark + Java или Scala; знакомство с Kafka и Hive – будет плюсом;
опыт построения сложных ETL-процессов;
навыки разработки с применением концепций ООП;
знание базовых алгоритмов и структур хранения данных, понимание принципов работы распределенных систем.
Будет плюсом
знакомство с Clickhouse;
опыт продуктовой аналитики;
знакомство с ML/DS, знание базовых идей и концепций;
понимание основ теории вероятности/статистики.
Формат работы
офисный комбинированный дистанционный
Уровень
middle
График работы
полный
Одноклассники
Одноклассники — одна из крупнейших социальных сетей. OK – самый высоконагруженный в мире сервис, написанный на Java. Большинство задач, которые возникают перед нами каждый день, не имеют готовых решений, поэтому мы используем большое количество собственных разработок. 
Подробнее о проекте"
https://team.vk.company/vacancy/33417/;Data engineer в направление HR аналитики;Москва, гибкий;Департамент персонала;1970-01-01;2023-10-15;"Data engineer в направление HR аналитики, Москва
Откликнуться
В нашу большую и дружную HR команду мы ищем Data engineer.
Основной нашей задачей является автоматизация процессов подготовки и формирования аналитической отчетности. Наши заказчики — это команды подбора / поиска персонала, компенсации и льготы, направление по обучению и развитию, административный департамент и т.д. ё
Мы постоянно развиваем аналитическое хранилище данных, которое необходимо для построения интерактивных отчетов в BI-системе и добавляем в нашу архитектуру новые источники которые так или иначе связаны с HR. 
Сейчас мы в поиске инженера данных, который будет отвечать за интеграцию и настройку процессов связанных с качеством данных
Технологический стек: PostgreSQL, MySQL, REST API, Docker, Python, S3 MinIO, DBT, Airflow
Задачи
Интеграция с внешними источниками;
Проектирование хранилища данных;
Разработка витрин данных по бизнес-требованиям;
Разработка и оптимизация ETL/ELT процессов обработки данных;
Разработка процессов Data Quality.
Требования
В качестве разработчика Python/ETL не менее года;
В области DWH не менее трех лет;
Понимание теории построения DataLake, DWH, Data Mesh и т.д.;
Опыт создания ETL/ELT пайплайнов для получения данных из различных потоков и источников данных;
Опыт интеграции с разнородными источниками и форматами (CSV, XML, JSON, Avro, Parquet, SQL);
Опыт написания собственных компонентов Airflow (hooks / operators / processors / triggers);
Опыт разработки моделей DBT, использование инструмента для настройки DQ и в качестве построения Data Vault / Business Data Vault;
Опыт работы с S3 API, знания как создать / удалить бакет, загрузить в него данные и выгрузить в другую систему.
Формат работы
офисный комбинированный дистанционный
Уровень
middle
График работы
полный
Департамент персонала
Департамент персонала VK — это команда, которая окружает людей заботой. Мы находим и развиваем новые таланты, заботимся о здоровье сотрудников, помогаем учиться новому и делиться своими знаниями.
Подробнее о проекте"
https://team.vk.company/vacancy/32888/;Data-инженер;Москва, гибкий;Рекламные технологии и развитие СМБ;1970-01-01;2023-10-15;"Data-инженер, Москва
Откликнуться
Ищем дата-инженера в рекламные технологии, который будет поддерживать расчёт текущих аналитических витрин и поможет нам грамотно выстроить ETL-процессы в новом хранилище рекламных данных.
Задачи
Построение новых и оптимизация существующих ETL-процессов;
Написание и оптимизация сложных SQL-запросов;
Ad-hoc задачи по подготовке данных, их автоматизация;
Участие в доработках платформы и фреймворков для расчетов;
Анализ сырых данных.
Требования
Уверенное владение SQL на уровне написания сложных запросов;
Уверенное владение Python;
Умение и желание разбираться в сложных процессах преобразования данных;

Будет плюсом
Опыт работы с ClickHouse;
Опыт работы с Hadoop и PySpark;
Опыт работы с Airflow;
Опыт работы с большими объемами данных.
Формат работы
офисный комбинированный дистанционный
Уровень
middle
График работы
полный
Рекламные технологии и развитие СМБ
Направление объединяет рекламные продукты и инструменты для бизнеса —  VK Реклама, ОРД, MyTracker, которые упрощают начало работы и ежедневное взаимодействие с рекламными кампаниями для любых категорий пользователей от начинающих предпринимателей до профессионалов маркетинга.
Подробнее о проекте"
https://team.vk.company/vacancy/21771/;Site Reliability Engineer (SRE);Москва, гибкий;Технический департамент;1970-01-01;2023-10-15;"Site Reliability Engineer (SRE), Москва
Откликнуться
Порекомендовать
Бонус за рекомендацию: 70000 ₽
Отдел эксплуатации VK — техническое сердце компании. Мы собрали одну из лучших команд в Рунете, обладающую уникальной экспертизой в области сетевых технологий и системного администрирования. Мы используем все самое выдающееся, что есть на рынке, а зачастую и создаем передовые технологии.
SRE занимаются эксплуатацией всех продуктов компании и обеспечивают 24х7 доступность сервисов для наших пользователей, и сейчас мы ищем сильных инженеров в несколько разных проектов VK.
Задачи
обеспечение непрерывного доступа к ресурсам для внешних и внутренних пользователей;
развитие и масштабирование продуктов — наша инфраструктура состоит из множества сервисов в геораспределенных дата-центрах, мы также планируем наши вычислительные ресурсы и прогнозируем их утилизацию;
оперативная работа с мониторингом и стратегическая с инцидентами — мы не только разрешаем текущие инциденты, но и постоянно работаем над предотвращением их появления в будущем;
автоматизация работы с инфраструктурой — наши команды SRE занимаются полным циклом сопровождения продуктовой среды, от удаленной установки ОС до описания деплойментов (Helm-чартов, Kubernetes-операторов, манифестов Puppet, Playbook Ansible);
участие в жизненном цикле продуктов — мы тесно связаны с нашими командами разработки, двусторонняя обратная связь между нашими командами позволяет добиться лучших результатов в продукте и совместно влиять на наиболее критичные, узкие места в наших сервисах и инфраструктуре.
Требования
опыт работы с ОС Linux от 3 лет и более — на интервью мы поговорим обо всем, от syscall до cgroups и namespaces;
понимание принципов работы с Сетью — мы уверены, что вы точно знаете, чем отличаются L3, L4 и L7, а также назовете практическую разницу между DROP и REJECT;
опыт работы с СУБД (основные для нас MySQL и PostgreSQL) — высокая доступность, планы запросов, оптимизация работы сервера, метрики и мониторинг;
системы управления конфигурациями, деплоймент и шаблонизация, ожидаем, что вы знакомы с Ansible/Puppet или Salt, а также использовали Helm;
мониторинг — мы ожидаем, что вы знакомы с Graphite, Prometheus или Grafana;
CI/CD — считаем, что вы знакомы с непрерывной поставкой кода и практиковали это ранее.
Будет плюсом
RHEL / CentOS / Almalinux — мы используем именно это семейство ОС;
возможность решать поставленные задачи на Python или Golang;
продуктовый опыт работы с Clickhouse, MongoDB или Redis.
Формат работы
офисный комбинированный дистанционный
Уровень
middle senior
График работы
полный сменный
Технический департамент
Команда технического департамента помогает бизнесу быстрее запускать сервисы и обеспечивать их надежность, производительность и безопасность, делать ежедневную работу сотрудников нашей компании удобной и приятной. Команда отвечает за общую инфраструктуру компании и развитие внутренних инструментов.
В технический департамент VK входит отдел эксплуатации, а также техническая поддержка, автоматизация внутренних процессов, информационная безопасность, сетевой отдел и департамент информационных технологий.
Подробнее о проекте"
https://team.vk.company/vacancy/33360/;SRE DWH/Bigdata;Москва, гибкий;Технический департамент;1970-01-01;2023-10-15;"SRE DWH/Bigdata, Москва
Откликнуться
Порекомендовать
Бонус за рекомендацию: 70000 ₽
Ищем талантливого, проактивного и опытного SRE в команду инфраструктуры аналитического хранилища данных почты Mail.ru.
Немного о нашей инфраструктуре:
Кластер Hadoop объемом несколько десятков петабайт;
Кластер Clickhouse объемом более одного петабайта;
Несколько кластеров Kafka c потоком сообщений более одного миллиарда в сутки;
Большой парк гипервизоров с виртуалками аналитиков и дата-инженеров;
Множество сервисов для работы с данными.
Почему с нами будет интересно:
У нас по-настоящему большие данные и хайлоад: сотни пользователей, петабайты данных, тысячи работающих джобов;
У нас нестандартная внутренняя инфраструктура и высокие требования к отказоустойчивости сервисов и их безопасности;
Мы используем подход “Инфраструктура как код” и стараемся автоматизировать абсолютно все;
Мы стараемся избегать проприетарных решений. Если нам чего-то не хватает, то мы скорее создадим собственное решение, чем купим уже готовое;
У нас сильная команда разработки, которая не донимает однотипными вопросами и умеет самостоятельно разобраться в проблемах производительности написанного кода;
Мы не находимся в состоянии ""пилота"" и не экспериментируем со стеком радикально.
Мы открыты кандидатам, не имеющим опыта работы с конкретными технологиями. В поиске человека мы делаем упор именно на опыт администрирования, навыки траблшутинга и знания Linux. Соискателям, желающим погрузиться в мир DWH и Bigdata, это дает реальную возможность получить интересный опыт, столь популярный сегодня на рынке труда.
Готовы предлагать как работу в комфортабельном офисе VK, так и полную удаленку.
Задачи
Администрирование кластера Hadoop:  дистрибутив vanilla одной из последних версий, стек: FreeIpa, Knox, HDFS, Yarn, Spark, Flume, Airflow, Hue, Jupyter);
Администрирование кластера Clickhouse;
Администрирование кластеров Kafka;
Администрирование виртуальных сред аналитиков (Libvirt, qemu)
Администрирование сервисов внутренней разработки. Стек: MySQL, PostgreSQL, Redis, MongoDB, RabbitMQ, Nginx;
Администрирование BI-инструментов Redash и Superset.
Требования
Опыт администрирование Linux (предпочтительно RHEL/Centos/SLES) от 3 лет;
Понимание принципов работы IP-сетей и маршрутизации в IP-сетях;
Хорошие навыки траблшутинга и расследования инцидентов;
Опыт работы с Puppet/Chef/Ansible (крайне желательно именно Puppet, но кандидатов без опыта c ним мы тоже рассматриваем);
Навыки написания скриптов на Bash и Python.
Будет плюсом
Опыт работы с Apache Hadoop;
Опыт работы с MPP СУБД (особенно, если это Clickhouse);
Опыт работы с Apache Kafka;
Опыт работы с Apache Airflow;
Опыт работы с Jupyter/Jupyterhub.
Формат работы
комбинированный дистанционный
Уровень
middle senior
График работы
полный
Технический департамент
Команда технического департамента помогает бизнесу быстрее запускать сервисы и обеспечивать их надежность, производительность и безопасность, делать ежедневную работу сотрудников нашей компании удобной и приятной. Команда отвечает за общую инфраструктуру компании и развитие внутренних инструментов.
В технический департамент VK входит отдел эксплуатации, а также техническая поддержка, автоматизация внутренних процессов, информационная безопасность, сетевой отдел и департамент информационных технологий.
Подробнее о проекте"
