link;name;location;level;company;date_of_download;description
https://www.tinkoff.ru/career/it/back-end-razrabotka/senior-java-developer-atm/;Java разработчик в Банкоматы;Любой город;Senior;Тинькофф;2023-10-13;"Описание
Мы в Тинькофф продолжаем развитие нашей уникальной разработки — банкоматы и терминалы. Наверняка, вы видели или пользовались желто-черным ATM с большим экраном и максимально удобными интерфейсом или распознали их по картинам Айвазовского, Леонардо Да Винчи и Левитана. Круто же, согласитесь? 
Именно ко всему этому мы и прикладываем руку —  я не о дизайне, конечно, а о разрабатываемой системе, которая как раз и управляет всей сетью банкоматов и терминалов. В наши задачи входит автоматизация и роботизация таких операционных процессов как инкассация, мониторинг, клининг, сервисное обслуживание.
Хочешь быть частью уникального? Присоединяйся! 💛
Обязанности
разработка нового и доработка текущего функционала банкоматов 
проработка и реализация интеграционных решений
экспертный анализ бизнес требований по развитию ПО
взаимодействие со сторонними командами разработчиков
выработка технического решения, разработка требований к ПО/ технических заданий, написание технической документации
Требования
опыт в коммерческой разработке от 3-х лет
опыт работы с Java от 8 версии и выше
опыт разработки микросервисной архитектуры
опыт с Spring и Spring Boot от 1 года
опыт работы с message broker, будет плюсом опыт с Kafka
уверенные знания SQL, будет плюсом опыт с NoSQL
Мы предлагаем
работу в офисе или удаленно — по договоренности
профессиональное развитие — вы получите доступ к библиотеке с технической литературой, тренингами и мастер-классами для сотрудников
заботу о здоровье — оформим полис ДМС со стоматологией и страховку от несчастных случаев, а также предложим льготное страхование вашим близким
компенсацию такси, парковки и 50% затрат на спорт от стоимости абонемента
компенсацию обедов, а если захотите перекусить, на каждом этаже есть кухня с чаем, кофе и фруктами
достойную зарплату — обсудим ее на собеседовании"
https://www.tinkoff.ru/career/it/back-end-razrabotka/vedushij-java-razrabotchik-tinkoff-investicii/;Ведущий Java-разработчик в Тинькофф Инвестиции;Любой город;Senior;Тинькофф;2023-10-13;"Описание
Тинькофф Инвестиции — лидер среди брокеров по количеству активных клиентов. Мы работаем со всеми сегментами — от новичков до опытных трейдеров и премиум-клиентов. От других брокеров нас отличают удобное и функциональное приложение, постоянное развитие и запуск новых продуктов, у которых нет аналогов на рынке.
Сейчас перед нами стоят масштабные задачи по запуску нескольких брокеров в зарубежных юрисдикциях и масштабированию их в облачной инфраструктуре, глобализации социальных сервисов и сервисов привлечения клиентов, развитию учетных систем. Мы расширяем команду и ищем ведущих Java-разработчиков.
Обязанности
Проектировать надежные отказоустойчивые сервисы, способные выдерживать большие нагрузки
Оценивать задачи, разрабатывать и поддерживать платформенные микросервисы, работать в продуктовой кросс-функциональной команде
Активно взаимодействовать с руководителем продукта, архитектором, аналитиками, инженерами по обеспечению качества и SRE для быстрой доставки качественных продуктовых фич
Проводить code review
Мы используем: Java 11-17 / Kotlin, Spring (Data/Web/Boot/Security/.), PostgreSQL, Cassandra (и другие NoSQL), Kafka, Maven/Gradle, GitLab, Kubernetes.
Требования
Опыт программирования на Java от 5 лет
Опыт коммерческой разработки на Java 11+ или Kotlin
Опыт коммерческой разработки с любым из фреймворков: Spring Boot, Quarkus, Micronaut или Vert.x
Опыт коммерческой разработки с одним из контейнеризаторов: Kubernetes, Docker или OpenShift
Опыт коммерческой разработки с одним из брокеров: Kafka, Rabbit MQ или Active MQ
Опыт коммерческой разработки с PostgreSQL, MySQL или Oracle будет плюсом
Опыт работы с системой контроля версий
Опыт написания модульных и интеграционных тестов
Мы предлагаем
Работу в офисе или удаленно — по договоренности
Возможность работы в аккредитованной ИТ-компании
Платформу обучения и развития «Тинькофф Апгрейд». Курсы, тренинги, вебинары и базы знаний. Поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии
Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким
Бесплатный фитнес-зал или компенсацию затрат на спортивные занятия
3 дополнительных дня отпуска в год
Уникальную well-being-программу, направленную на физическое и ментальное благополучие сотрудников
Достойную зарплату — обсудим ее на собеседовании"
https://www.tinkoff.ru/career/it/back-end-razrabotka/lead-alternativepaymentmethods/;TeamLead в Альтернативные способы оплаты;Москва, Санкт-Петербург;Senior;Тинькофф;2023-10-13;"Описание
Бизнес-линия интернет-эквайринга это большое направление, состоящее из 5 продуктовых команд и более 100 сотрудников. Одна из команд — Альтернативные способы оплаты, куда входят следующие продукты: TinkoffPay, СБП и Внешние продукты.

Экосистема построена на микросервисах + активно забирает из монолита свои продукты. Здесь много внешних и внутрибанковских интеграций.

Основной стек технологий: Java, SpringBoot, PostgreSQL, Angular. 
Обязанности
Взаимодействие с бизнес-заказчиками и другими командами направления
Координация процесса разработки, тестирования, приемки и введения в эксплуатацию
Участие в построении архитектуры и схем взаимодействий
Запуск новых механик взаимодействия с клиентами, оценка их результатаа
Ответственность за приоритет разработки, за сроки
Ведение roadmap команды
Требования
Опыт руководства кроссфункциональной командой от 4-6 человек 
Опыт участия в разработке информационных систем в качестве системного аналитика/бизнес аналитика/руководителя проектов/лида группы/разработки
Опыт работы с метриками/оценка результатов
Опыт проверки продуктовых гипотез
Огонь в глазах и желание создавать крутой клиентский продукт 
Мы предлагаем
Работа в комфортном офисе у метро «Водный стадион». У нас уютный офис с панорамным видом на город и подземной парковкой. Если хочешь перебраться в Москву — поможем с релокацией
Достойную зарплату — обсудим ее на собеседовании
Профессиональное развитие — ты получишь доступ к библиотеке с технической литературой, тренингами и мастер-классами для сотрудников
Бесплатные и вкусные завтраки/обеды в уютном Tinkoff Сafe. Если захочешь перекусить — на каждом этаже есть кухня с чаем, кофе и фруктами
Занятия в бесплатном фитнес-зале Tinkoff Sport. Пользуйся тренажерами, посещай групповые программы с крутыми тренерами, грейся в сауне. А еще мы регулярно устраиваем турниры по футболу, волейболу и хоккею
Забота о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Для твоих близких предложим льготные условия страхования"
https://www.tinkoff.ru/career/it/back-end-razrabotka/cpp-developer-conf-ml/;С++-разработчик в Confidential ML;Любой город;Middle;Тинькофф;2023-10-13;"Описание
Мы в Тинькофф строим множество моделей машинного и глубокого обучения для предсказания поведения. Это позволяет подбирать продукты под конкретные нужды пользователей в подходящий момент. Кроме того, у нас есть обширная партнерская сеть для обогащения данных — data ecosystem. Она состоит из разных источников и партнеров: операторов связи, ретейлеров, банков и других компаний.
Для нас крайне важна защита данных наших пользователей и пользователей партнеров. Мы ищем C++-разработчика, который будет разрабатывать и поддерживать zero-trust-платформу и протоколы для многосторонних конфиденциальных вычислений.
Протоколы включают:
— защищенное хранениe и трансформацию датасетов; 
— обучение моделей участниками сети и оценку их качества;
— деплоймент и инференс моделей на объединенных и обогащенных датасетах любым из участников сети без необходимости полного доверия и раскрытия данных.
Обязанности
Участвовать в разработке нового проекта, реализующего обучение ML-моделей в конфиденциальной среде
Требования
У вас есть опыт промышленной разработки от 3 лет
Знаете С++ на высоком уровне
Отлично разбираетесь в алгоритмах
Умеете вести разработку на Linux
Опыт использования фреймворков машинного обучения будем плюсом
Опыт использования OpenSSL будет плюсом
Мы предлагаем
Работу в офисе или удаленно — по договоренности
Платформу обучения и развития «Тинькофф Апгрейд». Курсы, тренинги, вебинары и базы знаний. Поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии
Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким
Возможность работы в аккредитованной ИТ-компании
Линейку льготных тарифов на продукты Тинькофф
Частичную компенсацию затрат на спорт
Сервисы для поддержки сотрудника по психологическим, юридическим и финансовым вопросам
Три дополнительных дня отпуска в год
Достойную зарплату — обсудим ее на собеседовании"
https://www.tinkoff.ru/career/it/back-end-razrabotka/java/;Java-разработчик;Любой город;Middle;Тинькофф;2023-10-13;"Описание
Мы расширяем команды и ищем разработчиков для развития нескольких сервисов:
Тинькофф Инвестиции. Мы — лидер среди брокеров по количеству активных клиентов. Делаем инвестиции удобными, технологичными и понятными;
Тинькофф Бизнес. Меняем подход к ведению бухгалтерии, обмену документами между организациями и работе с архивами — переводим все и вся в цифру;
Тинькофф Страхование. Развиваем платформу прямых продаж. Наша цель — предсказуемый, удобный процесс для бизнеса и клиента;
Платежные технологии и процессинг. Занимаемся разработкой и поддержкой платежного шлюза банка. Задачи шлюза — определять тип платежей, наполнять их данными из других систем банка и проверять разрешенность операций.
У нас много интересных и разнообразных задач, опытная команда и отличные возможности для роста. Откликайтесь на вакансию, чтобы узнать о проектах и выбрать подходящий для вас.
Обязанности
Разрабатывать внешние и внутренние продукты
Прорабатывать и реализовать интеграционные решения
Требования
Опыт разработки на Java от 3 лет
Опыт коммерческой разработки на Java 11+ или Kotlin
Опыт коммерческой разработки с любым из фреймворков: Spring Boot, Quarkus, Micronaut или Vert.x
Опыт коммерческой разработки с одним из контейнеризаторов: Kubernetes, Docker или OpenShift
Опыт коммерческой разработки с одним из брокеров: Kafka, Rabbit MQ или Active MQ
Опыт коммерческой разработки с Postgress, MySQL или Oracle будет плюсом
Опыт работы с системой контроля версий
Мы предлагаем
Работу в офисе или удаленно — по договоренности
Возможность работы в аккредитованной ИТ-компании
Платформу обучения и развития «Тинькофф Апгрейд». Курсы, тренинги, вебинары и базы знаний. Поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии
Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким
Бесплатный фитнес-зал или компенсацию затрат на спортивные занятия
3 дополнительных дня отпуска в год
Уникальную well-being-программу, направленную на физическое и ментальное благополучие сотрудников
Достойную зарплату — обсудим ее на собеседовании"
https://www.tinkoff.ru/career/it/back-end-razrabotka/senior-go-developer-hotels/;Golang-разработчик в Тинькофф Город;Любой город;Senior;Тинькофф;2023-10-13;"Описание
Проект «Отели» (https://www.tinkoff.ru/travel/hotels/new/) — это Booking от Тинькофф в рамках продуктов Тинькофф Город, удобный и качественный сервис для клиентов по бронированию отелей/гостиниц.
В начале апреля 2023 года мы опубликовали нативное решение и на текущий моменты продаем уже 70 тысяч бронирований в месяц. Проект объединяет в себе не только клиентское приложение, но и сервис для работы с Отелями.

В связи с этим мы начали формировать новую команду Поиска в Отелях. Она будет сфокусирована на performance задачах, фильтрации, ранжировании большой поисковой выдачи из статичных и динамичных данных (один поиск — это 100k объектов, 30 mB данных).
Для этих важных задач нам нужны Go-специалисты
Обязанности
Участие в проектировании архитектуры с использованием нашей платформы
Изучение новых технологий и внедрение их в проект
Реализация бизнес-фич
Работа с техническим долгом и написание авто- и unit-тестов
Непрерывно обучаться, совершенствовать свои знания и навыки
Требования
Опыт разработки на Golang от 2 лет
Опыт разработки многопоточных приложений
Опыт разработки Web-сервисов (REST, gRPC)
Опыт работы с реляционными базами данных и брокерами сообщений
Опыт работы с Unix-системами
Желателен
Опыт работы с нереляционными базами данных, такими как ElasticSearch, ClickHouse
Опыт построения высоконагруженных сервисов
Мы предлагаем
Работу в офисе или удаленно — по договоренности
Платформу обучения и развития Тинькофф Апгрейд. Курсы, тренинги, вебинары и базы знаний. Поддержка менторов и наставников, помощь в поиске точек роста и карьерном развитии
Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким
Бесплатный фитнес-зал или компенсацию затрат на спортивные занятия
Достойную зарплату — обсудим ее на собеседовании"
https://www.tinkoff.ru/career/it/back-end-razrabotka/lead-processing/;TeamLead в Процессинг;Москва;Senior;Тинькофф;2023-10-13;"Описание
Команда занимается разработкой архитектурных решений инфраструктурных проектов, на которых в дальнейшем базируются разработки бизнесовых групп.

Сейчас ведется разработка архитектуры шардированной процессинговой и продуктовой платформы, которая позволит перейти с вендорских решений и Oracle на стек открытых технологий. Здесь много задач по R& D проектам.

Стек технологий: Java 11/17 + Spring, GridGain, Cassandra, PostgreSQL.

Ведутся эксперименты по внедрению решений на Go и внедрению внутреннего фреймворка.
Обязанности
Координация взаимодействия команд в рамках проектов по развитию платформ/продуктов
Оценка достаточности ресурсов (как аппаратных, так и человеческих), прогнозирование потребностей в ресурсах при росте клиентской базы и развитии платформ/продуктов
Участие в стратегическом планировании развития систем, продуктов и команд
Принятие архитектурных решений
Целеполагание в команде и ответственность за результат
Развитие деливери процессов, ответственность за планирование и сроки
Развитие команды: оценка эффектинвности, найм/увольнения, обратная связь (позитивная и развивающая), развитие сотрудников (hard и soft skills), и т. д.
Выстраивание эффективных коммуникаций со смежными командами
Требования
Сильный технический бэкграунд
Опыт разработки на Java от 3-х лет
Навыки построения архитектуры, проектирования систем
Опыт руководства IT-командами от 10 человек 
Знание требований к современным распределенным, высоконагруженным приложениям
Знание паттернов проектирования распределенных систем
Мы предлагаем
Удаленная работа или работа в комфортном офисе у метро «Водный стадион». У нас уютный офис с панорамным видом на город и подземной парковкой. Если хочешь перебраться в Москву — поможем с релокацией
Достойную зарплату — обсудим ее на собеседовании
Профессиональное развитие — вы получите доступ к библиотеке с технической литературой, тренингами и мастер-классами для сотрудников
Бесплатные и вкусные завтраки/обеды в уютном Tinkoff Сafe. Если захочешь перекусить — на каждом этаже есть кухня с чаем, кофе и фруктами
Занятия в бесплатном фитнес-зале Tinkoff Sport. Пользуйся тренажерами, посещай групповые программы с крутыми тренерами, грейся в сауне. А еще мы регулярно устраиваем турниры по футболу, волейболу и хоккею
Забота о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Для твоих близких предложим льготные условия страхования"
https://www.tinkoff.ru/career/it/back-end-razrabotka/python-senior/;Senior Python-разработчик;Любой город;Senior;Тинькофф;2023-10-13;"Описание
Python — один из самых распространенных языков разработки в Тинькофф. На нем мы пишем множество сложных и нагруженных проектов. Мы ищем опытных Python-разработчиков, которые смогут вывести наши продукты на новый уровень.

Нам всегда есть что предложить: от внутренних проектов до клиентских продуктов, которыми пользуются миллионы. Еще у нас активное комьюнити: в Тинькофф более 150 Python-разработчиков. Мы выступаем на внешних митапах и конференциях, проводим мероприятия, разрабатываем внутренние innersource-проекты, проводим встречи литературного клуба и многое другое.
Обязанности
Проектировать компоненты систем
Организовывать процесс разработки
Писать код и проводить код-ревью
Писать тесты на свой код
Помогать менее опытным коллегам
Требования
Отлично знаете Python 3, есть опыт промышленной разработки на Python от трех лет
Есть опыт многопоточного и асинхронного программирования
Умеете работать с фреймворками: FastApi, Flask или другими
Умеете работать с реляционными СУБД PostgreSQL и MySQL
Есть опыт проектирования отдельных сервисов или распределенных систем
Опыт использования Kafka, Cassandra, Clickhouse, Redis и Elasticsearch будет плюсом
Мы предлагаем
Работу в офисе или удаленно — по договоренности
Платформу обучения и развития «Тинькофф Апгрейд». Курсы, тренинги, вебинары и базы знаний. Поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии
Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким
Возможность работы в аккредитованной ИТ-компании
Линейку льготных тарифов на продукты Тинькофф
Частичную компенсацию затрат на спорт
Сервисы для поддержки сотрудника по психологическим, юридическим и финансовым вопросам
Три дополнительных дня отпуска в год
Достойную зарплату — обсудим ее на собеседовании"
https://www.tinkoff.ru/career/it/back-end-razrabotka/tech-lead-java-tinkoff-origination-platform/;Tech Lead (Java) Tinkoff origination platform;Любой город;Senior;Тинькофф;2023-10-13;"Описание
ТОР отвечает за весь путь получения новых продуктов для клиентов, от нас зависит первое впечатление от Tinkoff: мы создаем магию оформления и одобрения продукта за секунды.
Origination — процесс получения продукта, который начинается с интереса клиента (например: нужна банковская карта) и заканчивается моментом первого использования продукта.Платформу развивает и поддерживает триста человек, back-end состоит из >400 микросервисов, сложной процессной логики и алгоритмов принятия решений:
Скоринг и антифрод.
Назначение и проведение встреч.
Звонки и нотификации.
Рекомендации и кросс-продажи.
Компания растет, у бизнеса появляются амбициозные цели.
Нам важно делать надежный продукт, от которого кайфуют клиенты, и мы в поисках Tech Lead в нашу команду, который поможет нам улучшать и развивать продукт c аудиторией более 25 миллионов клиентов.

Стек: Kotlin, Spring (Data/Web/Boot/Cloud/Security), Kafka, Redis, Oracle, PostgreSQL, Kubernetes, Docker, Prometheus, Grafana, Gradle.
Обязанности
Поиском зон роста (например, в области доступности, автоматизации тестирования, поставки).
Развитием процессов качества (процессы разработки и тестирования, поставка ценности и функционирование на проде).
Формулированием технических целей для команды.
Проектированием и разработкой безопасных сервисов с высокой доступностью (99.9)
Развитием технического уровня команды.
Управлением бэклогом технических задач.
Требования
Разработки Backend на Java от 4 лет.
Проектировать и реализовывать системы и процессы с учетом бизнес потребностей.
Ставить долгосрочные технические цели и достигать их.
Делегировать задачи команде.
Защищать интересы качества, учитывая интересы бизнеса.
Построения архитектуры уровня приложения и уровня системы.
Знание рантайма — мониторинг, окружение, JVM, траблшуттинг.
CI/CD
Spring Framework или другими DI фреймворками.
Контейнеризация (Docker, rkt, cri-o)
Оркестраторы контейнеров (k8s, OpenShift, Rancher, Nomad, Docker Swarm). Предпочтительней Kubernetes.
Знание SQL, принципов работы реляционных и нереляционных БД.
Работы с синхронными протоколами взаимодействия сервисов — REST, gRPC.
Работы с любым из брокеров сообщений.
Написания тестов (модульные, интеграционные).
Мы предлагаем
Работу в офисе или удаленно — по договоренности
Возможность работы в аккредитованной ИТ-компании
Платформу обучения и развития Тинькофф Апгрейд. Курсы, тренинги, вебинары и базы знаний. Поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии
Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким
Бесплатный фитнес-зал или компенсацию затрат на спортивные занятия
3 дополнительных дня отпуска в год
Уникальную well-being программу, направленную на физическое и ментальное благополучие сотрудников
Достойную зарплату — обсудим ее на собеседовании"
https://www.tinkoff.ru/career/it/back-end-razrabotka/python-razrabotchik-v-komandu-hardware-as-a-service/;Python-разработчик в команду Hardware as a Service;Любой город;Senior;Тинькофф;2023-10-13;"Описание
Когда компания выходит на уровень BigTech, она сталкивается с проблемой масштабирования. Появляется необходимость эффективно управлять вычислительными ресурсами, быстро и системно наращивать мощности. Мы создали продукт Hardware as a Service (HWaaS), который помогает закрыть эту потребность и работает как приватное bare-metal облако компании.

Ключевые направления нашей работы:
— обеспечение пользователей единой точкой входа и стабильным пользовательским опытом;
— унификация, ускорение и удешевление процессов эксплуатации инфраструктуры;
— централизованное автоматическое управление оборудованием и запуск новых дата-центров.

Самые активные пользователи HWaaS — SRE-инженеры Тинькофф. С помощью нашего продукта они могут «по кнопке» получить сервер со свежеустановленной операционной системой, сетью и необходимыми доступами.

Как разработчики мы взаимодействуем с распределенными системами, создаем свои и постоянно сталкиваемся с неординарными задачами. Мы используем современные OpenSource-инструменты: Python 3.10 и выше, Poetry, Redis, PostgreSQL, Docker/k8s, pylint, mypy и другие.

В нашей команде нет ограничений для роста: мы поддерживаем стремление развиваться, в том числе вне продукта. Например, можно участвовать в комьюнити Python-разработчиков.
Обязанности
Разрабатывать и развивать продукт Hardware as a Service
Обеспечивать масштабируемость и отказоустойчивость сервиса
Воплощать бизнес-требования в архитектурных решениях
Проектировать новые компоненты и перерабатывать существующие
При желании участвовать в развитии внутреннего Python-комьюнити: развивать общие практики, библиотеки и инструменты
Требования
У вас есть опыт коммерческой разработки от 4 лет
Отлично знаете Python
Понимаете принципы работы алгоритмов и структур данных на базовом уровне
Умеете работать с реляционными базами данных
Есть базовый опыт деплоя и эксплуатации сервисов
Обладаете хорошими коммуникативными навыками
Опыт построения распределенных систем или работы с ними будет плюсом
Опыт автоматизации инфраструктуры и работы с сетью будет плюсом
Мы предлагаем
Работу в офисе или удаленно — по договоренности
Платформу обучения и развития «Тинькофф Апгрейд». Курсы, тренинги, вебинары и базы знаний. Поддержку менторов и наставников, помощь в поиске точек роста и карьерном развитии
Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким
Возможность работы в аккредитованной ИТ-компании
Линейку льготных тарифов на продукты Тинькофф
Частичную компенсацию затрат на спорт
Сервисы для поддержки сотрудника по психологическим, юридическим и финансовым вопросам
Три дополнительных дня отпуска в год
Достойную зарплату — обсудим ее на собеседовании"
